,charging,,,,,,not charging,,,,,
,QB,,,,,Multi,QB,,,,,multi
D6:A6:68:D0:93:31,97,4231,C,RAW=,3106,4.01,9,3841,K,RAW=,2820,
D6:A6:68:D0:93:31,91,4187,C,RAW=,3074,4.01,,,K,RAW=,,
D6:A6:68:D0:93:31,9,3836,C,RAW=,2816,4.01,,,K,RAW=,,
D6:A6:68:D0:93:31,98,4239,C,RAW=,3113,4.01,,,K,RAW=,,
D6:A6:68:D0:93:31,90,4176,C,RAW=,3066,4.01,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
DE:19:5E:5B:59:A4,2,3277,C,RAW=,2406,3.28,4,3329,K,RAW=,2445,3.24
,7,3672,C,RAW=,2696,3.71,2,3209,K,RAW=,2357,3.2
,7,3678,C,RAW=,2701,3.71,17,3640,K,RAW=,2673,3.67
,,,,,,,18,3650,K,RAW=,2681,3.66
,,,,,,,17,3637,K,RAW=,2670,3.66
,,,,,,,11,3588,K,RAW=,2634,3.59
E6:45:A0:2A:0B:80,10,3852,C,RAW=,2892,3.86,,,K,RAW=,,
,10,3852,C,RAW=,2829,3.86,77,3920,K,RAW=,2878,3.82
,9,3841,C,RAW=,2820,3.83,63,3833,K,RAW=,2814,3.82
,,,C,RAW=,,,63,3833,K,RAW=,2815,3.82
,,,C,RAW=,,,64,3838,K,RAW=,2819,3.82
,,,C,RAW=,,,62,3825,K,RAW=,2808,3.81
,,,C,RAW=,,,,,K,RAW=,,
F5:5F:1A:B0:2E:B5,9,3819,C,RAW=,2805,3.86,67,3852,K,RAW=,2829,3.86
,9,3847,C,RAW=,2824,3.86,65,3844,K,RAW=,2822,3.86
,9,3838,C,RAW=,2819,3.86,,,K,RAW=,,
,13,3868,C,RAW=,2840,3.89,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
EC:CA:AD:DD:62:DC,7,3672,C,RAW=,2696,3.64,33,3719,K,RAW=,2731,3.69
,8,3716,C,RAW=,2729,3.65,33,3721,K,RAW=,2732,3.69
,7,3689,C,RAW=,2709,3.66,,,K,RAW=,,
,8,3749,C,RAW=,2752,3.72,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
,,,C,RAW=,,,,,K,RAW=,,
