Layout,Sensor,Type,Left_X,Left_Y,Top_X,Top_Y,Right_X,Right_Y,Bottom_X,Bottom_Y,Center_X,Center_Y
FSR-L,FSR1,Diamond,674,60,763,36,789,126,698,151,732,94
FSR-L,FSR2,Diamond,352,156,418,90,485,156,418,223,419,157
FSR-L,FSR3,Diamond,701,163,790,139,816,227,725,254,759,197
FSR-L,FSR4,Diamond,234,274,301,207,367,273,300,340,301,274
FSR-L,FSR5,Diamond,119,389,186,322,252,388,185,455,186,389
FSR-L,FSR6,Square,774,546,775,545,869,546,775,640,822,593
FSR-L,FSR7,Square,409,618,409,618,503,618,409,712,456,665
FSR-L,FSR8,Square,774,652,774,652,869,652,774,746,822,699
FSR-L,FSR9,Square,409,724,409,724,503,724,409,819,456,772
FSR-L,FSR10,Square,34,796,34,796,128,796,34,891,81,844
FSR-L,FSR11,Square,34,903,34,903,128,903,34,997,81,950
FSR-L,FSR12,Square,358,936,358,936,452,936,358,1030,405,983
FSR-L,FSR13,Square,464,936,464,936,558,936,464,1030,511,983
FSR-L,FSR14,Square,53,1412,53,1412,147,1412,54,1507,100,1460
FSR-L,FSR15,Square,134,1745,134,1745,229,1745,134,1839,182,1792
FSR-L,FSR16,Square,201,2114,201,2114,296,2114,201,2208,249,2161
FSR-L,FSR17,Square,488,2278,488,2278,582,2278,489,2373,535,2326
FSR-L,FSR18,Square,435,2599,435,2599,529,2599,528,2694,482,2647
FSR-L,FSR19,Square,435,2706,435,2706,529,2706,435,2800,482,2753
FSR-R,FSR1,Diamond,113,126,138,36,228,60,201,151,171,94
FSR-R,FSR2,Diamond,86,227,110,139,201,163,174,254,144,197
FSR-R,FSR3,Diamond,417,156,483,90,550,156,484,223,484,157
FSR-R,FSR4,Diamond,535,273,601,207,668,274,601,340,602,274
FSR-R,FSR5,Diamond,650,388,716,322,783,389,716,455,717,389
FSR-R,FSR6,Square,33,546,34,545,128,546,34,640,81,593
FSR-R,FSR7,Square,399,618,399,618,493,618,399,712,446,665
FSR-R,FSR8,Square,33,652,33,652,128,652,33,746,81,699
FSR-R,FSR9,Square,399,724,399,724,493,724,400,819,446,772
FSR-R,FSR10,Square,774,796,774,796,868,796,775,891,821,844
FSR-R,FSR11,Square,774,903,774,903,868,903,774,997,821,950
FSR-R,FSR12,Square,344,936,344,936,438,936,344,1030,391,983
FSR-R,FSR13,Square,450,936,450,936,544,936,450,1030,497,983
FSR-R,FSR14,Square,755,1412,755,1412,849,1412,755,1507,802,1460
FSR-R,FSR15,Square,673,1745,673,1745,768,1745,673,1839,721,1792
FSR-R,FSR16,Square,606,2114,606,2114,701,2114,606,2208,654,2161
FSR-R,FSR17,Square,320,2278,320,2278,414,2278,321,2373,367,2326
FSR-R,FSR18,Square,373,2599,373,2599,467,2599,374,2694,420,2647
FSR-R,FSR19,Square,373,2706,373,2706,467,2706,373,2800,420,2753
CAP-L,CAP1,Diamond,671,50,772,23,830,228,727,256,751,140
CAP-L,CAP2,Square,773,533,773,533,881,533,773,747,827,640
CAP-L,CAP3,Square,407,605,407,605,516,605,407,820,462,713
CAP-L,CAP4,Square,32,784,33,783,141,784,33,998,87,891
CAP-L,CAP5,Square,356,923,356,923,571,923,357,1032,464,978
CAP-L,CAP6,Square,433,2587,434,2586,542,2586,433,2801,488,2694
CAP-R,CAP1,Diamond,72,228,127,23,231,50,174,256,152,140
CAP-R,CAP2,Square,21,533,21,533,129,533,21,747,75,640
CAP-R,CAP3,Square,386,605,386,605,495,605,386,820,441,713
CAP-R,CAP4,Square,761,784,762,783,870,784,761,998,816,891
CAP-R,CAP5,Square,331,923,331,923,546,923,331,1032,439,978
CAP-R,CAP6,Square,360,2586,360,2586,469,2587,360,2801,415,2694
TMP-L,TMP1,Square,751,260,751,260,819,260,751,300,785,280
TMP-L,TMP2,Square,792,753,792,753,861,753,792,793,827,773
TMP-L,TMP3,Square,427,825,427,825,495,825,427,866,461,846
TMP-L,TMP4,Square,52,1004,52,1004,120,1004,53,1044,86,1024
TMP-L,TMP5,Square,453,2809,454,2808,521,2809,454,2848,487,2828
TMP-R,TMP1,Square,83,260,83,260,151,260,83,300,117,280
TMP-R,TMP2,Square,41,753,41,753,110,753,42,793,76,773
TMP-R,TMP3,Square,407,825,407,825,475,825,407,866,441,846
TMP-R,TMP4,Square,782,1004,782,1004,850,1004,782,1044,816,1024
TMP-R,TMP5,Square,381,2809,382,2808,449,2809,382,2848,415,2828
